,GJD-2450000,flux,err,airmass,sky,dx,dy
226,8063.018848000001,0.9968600000000001,0.003885,1.3708,505.7,-2.253,-0.905
227,8063.019473,1.001013,0.0039369999999999995,1.3729,545.8,-2.463,-0.934
228,8063.020098000001,1.0039,0.0039049999999999996,1.3748,518.9,-2.8480000000000003,-1.285
229,8063.020734999999,0.993192,0.0038619999999999995,1.3767,496.1,-2.8369999999999997,-1.262
230,8063.021348,1.002834,0.0038829999999999997,1.3789,490.7,-2.2640000000000002,-1.25
231,8063.021984999999,1.002148,0.0038729999999999997,1.3809,491.0,-3.011,-0.713
232,8063.0225980000005,1.00399,0.003889,1.3831,493.7,-2.2769999999999997,-0.642
233,8063.023223,0.998235,0.003865,1.3851,488.4,-2.416,-0.768
234,8063.023859999999,0.994849,0.0038590000000000005,1.3872,486.8,-3.045,-0.7929999999999999
235,8063.024484999999,0.9968229999999999,0.003839,1.3895,485.3,-2.95,-1.393
236,8063.025122,1.004226,0.0038740000000000003,1.3917,486.4,-2.46,-0.47
237,8063.025747,0.995099,0.0038520000000000004,1.3941,488.5,-2.7539999999999996,-1.518
238,8063.026372,1.003487,0.003885,1.3962,492.2,-2.892,-0.5670000000000001
239,8063.027008,1.003426,0.003901,1.3985,494.0,-2.773,-0.14
240,8063.027645,1.005232,0.003899,1.401,495.4,-1.817,-0.11800000000000001
241,8063.028270000001,0.99997,0.0038799999999999998,1.4032,494.0,-2.568,-0.397
242,8063.028895,0.9985959999999999,0.0038799999999999998,1.4058,494.6,-3.717,0.665
243,8063.02952,1.003356,0.003887,1.4081,495.4,-2.6689999999999996,-1.112
244,8063.030145000001,0.998633,0.0038979999999999996,1.4105,498.2,-2.499,-0.988
245,8063.030781,0.998411,0.00391,1.4131,496.3,-2.801,-0.366
246,8063.0314180000005,1.003288,0.003889,1.4158,498.1,-2.3609999999999998,-1.319
247,8063.032043000001,0.998402,0.003899,1.4183,501.8,-2.9539999999999997,-1.151
248,8063.032679000001,1.007447,0.003933,1.421,502.9,-2.889,-1.626
249,8063.0333040000005,1.001966,0.003909,1.4235,501.7,-2.761,-0.501
250,8063.033929000001,1.001118,0.0039049999999999996,1.4261,503.3,-2.525,0.141
251,8063.034565999999,1.005333,0.003904,1.4289,501.2,-2.364,-1.079
252,8063.035191,1.00157,0.00389,1.4315,499.4,-3.903,-1.2409999999999999
253,8063.035828,0.9940450000000001,0.0038619999999999995,1.4345,497.6,-2.496,-0.87
254,8063.036453,1.001514,0.0039020000000000005,1.4372,497.2,-2.805,-0.175
255,8063.037078,1.006933,0.0038909999999999995,1.4402,499.3,-3.162,-1.7790000000000001
256,8063.037714,0.995635,0.0038840000000000003,1.4429,502.5,-2.6719999999999997,-0.622
257,8063.038351,1.001541,0.003954,1.4458,546.9,-3.031,-1.311
258,8063.038976000001,0.992618,0.003951,1.4489,549.5,-2.6639999999999997,-0.49700000000000005
259,8063.0396120000005,0.9998889999999999,0.003912,1.452,514.3,-3.154,-1.041
260,8063.040237,0.9976950000000001,0.0039049999999999996,1.4549,510.4,-2.923,-0.155
261,8063.040873999999,1.00473,0.003943,1.4579,510.1,-2.506,-0.7659999999999999
262,8063.041509999999,1.001368,0.003929,1.4612,508.6,-3.738,-0.785
263,8063.042135,0.998215,0.003922,1.4641,511.3,-2.7460000000000004,-0.461
264,8063.042772,1.0054299999999998,0.003924,1.4675,513.5,-2.966,-0.763
265,8063.0433969999995,1.0036040000000002,0.003917,1.4706,510.6,-3.407,-0.292
266,8063.044022,0.997926,0.003912,1.4741,514.6,-3.363,-0.473
267,8063.044659,1.006373,0.003951,1.4772,517.2,-3.389,-0.424
268,8063.045272,1.002448,0.003935,1.4804,515.8,-2.804,-0.765
269,8063.045909,0.997999,0.003924,1.484,510.4,-3.202,0.732
270,8063.046534,0.997352,0.003924,1.4872,506.3,-2.505,-1.8840000000000001
271,8063.047159000001,0.9924120000000001,0.003896,1.4906,507.3,-2.6839999999999997,-0.41200000000000003
272,8063.047784,1.005896,0.003952000000000001,1.4943,512.1,-2.589,-0.04
273,8063.04842,1.003352,0.0039310000000000005,1.4976,514.6,-3.602,-0.6409999999999999
274,8063.049045000001,1.0044870000000001,0.003947,1.5014,513.5,-2.314,-0.7659999999999999
275,8063.04967,0.995281,0.003947,1.5049,516.4,-2.443,-0.141
276,8063.0503069999995,0.998023,0.003939,1.5087,520.1,-3.53,-0.9890000000000001
277,8063.050943000001,1.003971,0.003965,1.5123,527.4,-3.0039999999999996,-0.7120000000000001
278,8063.051579999999,1.006175,0.003995,1.5162,530.7,-3.003,-0.057999999999999996
279,8063.052216,0.9968030000000001,0.003972,1.5199,533.5,-3.508,0.107
280,8063.052841,1.0060440000000002,0.003993,1.524,533.6,-3.0780000000000003,-0.922
